project_accession	file_name	category	file_size_bytes	ftp_url	local_relative_path	license_status	redistribution_status	download_status
PXD053203	BzdN_20220610_LA_31_IA_final_fragment.csv	SEARCH	3149530	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD053203/BzdN_20220610_LA_31_IA_final_fragment.csv	raw/proteomics/PRIDE/PXD053203/BzdN_20220610_LA_31_IA_final_fragment.csv	license_unverified	blocked_until_reviewed	pending
PXD054782	AllQuantifiedProteinGroups.tsv	SEARCH	3219372	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/12/PXD054782/AllQuantifiedProteinGroups.tsv	raw/proteomics/PRIDE/PXD054782/AllQuantifiedProteinGroups.tsv	license_unverified	blocked_until_reviewed	pending
PXD024175	Set4_Proteins.txt	SEARCH	3237912	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/11/PXD024175/Set4_Proteins.txt	raw/proteomics/PRIDE/PXD024175/Set4_Proteins.txt	license_unverified	blocked_until_reviewed	pending
PXD020529	RAW_OSW1_protein.txt	SEARCH	3249051	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD020529/RAW_OSW1_protein.txt	raw/proteomics/PRIDE/PXD020529/RAW_OSW1_protein.txt	license_unverified	blocked_until_reviewed	pending
PXD012929	combined_TableS2E.zip	SEARCH	3302310	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012929/combined_TableS2E.zip	raw/proteomics/PRIDE/PXD012929/combined_TableS2E.zip	license_unverified	blocked_until_reviewed	pending
PXD044380	Annotation_combine.xlsx	SEARCH	3357800	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/03/PXD044380/Annotation_combine.xlsx	raw/proteomics/PRIDE/PXD044380/Annotation_combine.xlsx	license_unverified	blocked_until_reviewed	pending
PXD059132	Cowan_et_al_Proteomics_set1.csv	SEARCH	3404108	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/07/PXD059132/Cowan_et_al_Proteomics_set1.csv	raw/proteomics/PRIDE/PXD059132/Cowan_et_al_Proteomics_set1.csv	license_unverified	blocked_until_reviewed	pending
PXD062361	Cowan_et_al_Proteomics_set1.csv	SEARCH	3404108	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD062361/Cowan_et_al_Proteomics_set1.csv	raw/proteomics/PRIDE/PXD062361/Cowan_et_al_Proteomics_set1.csv	license_unverified	blocked_until_reviewed	pending
PXD002393	HYEMSE90_201506_peptide_quantification_report.csv	SEARCH	3428384	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD002393/HYEMSE90_201506_peptide_quantification_report.csv	raw/proteomics/PRIDE/PXD002393/HYEMSE90_201506_peptide_quantification_report.csv	license_unverified	blocked_until_reviewed	pending
PXD003077	msms.txt	SEARCH	3536705	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003077/msms.txt	raw/proteomics/PRIDE/PXD003077/msms.txt	license_unverified	blocked_until_reviewed	pending
